On the 1826 day, do nothing.
On the 317 day, do nothing.
On the 316 day, earn 19559.722609$ by saleing 7.063822 bits brought from 310 day.
On the 310 day, do nothing.
On the 309 day, do nothing.
On the 308 day, do nothing.
On the 307 day, do nothing.
On the 306 day, do nothing.
On the 305 day, do nothing.
On the 304 day, do nothing.
On the 303 day, do nothing.
On the 302 day, do nothing.
On the 301 day, do nothing.
On the 300 day, do nothing.
On the 299 day, earn 13768.655551$ by saleing 5.383069 bits brought from 295 day.
On the 295 day, do nothing.
On the 294 day, do nothing.
On the 293 day, do nothing.
On the 292 day, do nothing.
On the 291 day, do nothing.
On the 290 day, do nothing.
On the 289 day, do nothing.
On the 288 day, do nothing.
On the 287 day, do nothing.
On the 286 day, do nothing.
On the 285 day, earn 13294.485768$ by saleing 4.974096 bits brought from 278 day.
On the 278 day, do nothing.
On the 277 day, do nothing.
On the 276 day, do nothing.
On the 275 day, do nothing.
On the 274 day, earn 12392.112163$ by saleing 4.362410 bits brought from 270 day.
On the 270 day, do nothing.
On the 269 day, earn 11857.983049$ by saleing 4.196560 bits brought from 260 day.
On the 260 day, do nothing.
On the 259 day, do nothing.
On the 258 day, do nothing.
On the 257 day, earn 9387.031040$ by saleing 4.012468 bits brought from 248 day.
On the 248 day, do nothing.
On the 247 day, do nothing.
On the 246 day, do nothing.
On the 245 day, do nothing.
On the 244 day, earn 7117.357801$ by saleing 3.970809 bits brought from 217 day.
On the 217 day, do nothing.
On the 216 day, do nothing.
On the 215 day, earn 4740.221764$ by saleing 3.728616 gold brought from 213 day.
On the 213 day, earn 4718.299363$ by saleing 3.925088 bits brought from 196 day.
On the 196 day, do nothing.
On the 195 day, do nothing.
On the 194 day, do nothing.
On the 193 day, do nothing.
On the 192 day, earn 3715.050849$ by saleing 3.388849 bits brought from 189 day.
On the 189 day, do nothing.
On the 188 day, earn 3291.509919$ by saleing 2.703934 gold brought from 186 day.
On the 186 day, earn 3273.891084$ by saleing 2.656836 bits brought from 179 day.
On the 179 day, do nothing.
On the 178 day, do nothing.
On the 177 day, do nothing.
On the 176 day, do nothing.
On the 175 day, earn 3136.494952$ by saleing 2.486795 bits brought from 152 day.
On the 152 day, do nothing.
On the 151 day, earn 2475.915334$ by saleing 2.399647 bits brought from 124 day.
On the 124 day, earn 1911.410885$ by saleing 1.602189 gold brought from 116 day.
On the 116 day, earn 1884.002234$ by saleing 1.706176 bits brought from 55 day.
On the 55 day, do nothing.
On the 54 day, do nothing.
On the 53 day, earn 1189.825620$ by saleing 1.655609 bits brought from 13 day.
On the 13 day, do nothing.
On the 12 day, earn 1003.235501$ by saleing 0.756754 gold brought from 6 day.
On the 6 day, do nothing.
On the 5 day, do nothing.
On the 4 day, do nothing.
On the 3 day, do nothing.
On the 2 day, do nothing.
bit  : 33702552905.9617
gold : 33194247574.9717
